deployment_id,start_date,end_date
beaman-s10-c18-y22,9/27/2022,12/30/2022
beaman-s1-c20-y21,7/3/2021,12/30/2021
beaman-s1-c20-y22,1/1/2022,4/21/2022
beaman-s2-c21-y21,6/29/2021,9/18/2021
beaman-s3-c22-y21,6/29/2021,10/27/2021
beaman-s3-c22-y22,1/31/2022,4/10/2022
beaman-s4-c23-y21,6/29/2021,12/31/2021
beaman-s4-c23-y22,1/17/2022,5/16/2022
beaman-s6-c21-y21,9/25/2021,12/31/2021
beaman-s6-c21-y22,1/1/2022,4/12/2022
beaman-s7-c12-y22,9/21/2022,12/26/2022
beaman-s8-c3-y22,9/21/2022,11/10/2022
beaman-s9-c33-y22,9/22/2022,12/31/2022
bells.bend-s1-c14-y21,6/28/2021,12/31/2021
bells.bend-s1-c14-y22,1/1/2022,5/19/2022
bells.bend-s2-c15-y21,6/28/2021,12/30/2021
bells.bend-s2-c15-y22,1/1/2022,5/12/2022
bells.bend-s2-c16-y21,7/2/2021,7/27/2021
bells.bend-s3-c16-y21,7/2/2021,9/11/2021
bells.bend-s4-c17-y21,6/29/2021,12/15/2021
bells.bend-s4-c17-y22,4/3/2022,4/10/2022
blue.hole-s1-c50-y22,9/30/2022,11/12/2022
blue.hole-s2-c51-y22,9/29/2022,12/31/2022
edwin.warner-s1-c47-y22,8/30/2022,12/6/2022
edwin.warner-s2-c44-y22,8/30/2022,11/18/2022
edwin.warner-s3-c39-y22,8/30/2022,10/28/2022
edwin.warner-s4-c38-y22,9/1/2022,12/4/2022
edwin.warner-s5-c43-y22,9/1/2022,12/4/2022
ellington-s1-c2-y22,10/2/2022,12/25/2022
ellington-s2-c13-y22,10/3/2022,10/18/2022
hill.forest-s1-c35-y22,9/1/2022,11/13/2022
hill.forest-s2-c36-y22,9/2/2022,10/24/2022
hill.forest-s3-c41-y22,9/1/2022,9/28/2022
hill.forest-s4-c33-y22,8/31/2022,10/23/2022
hill.forest-s5-c34-y22,9/1/2022,10/7/2022
mill.creek-s1-c25-y21,7/20/2021,8/26/2021
mill.creek-s1-c2-y21,9/29/2021,12/31/2021
mill.creek-s1-c2-y22,1/2/2022,4/23/2022
mill.creek-s2-c26-y21,7/21/2021,12/6/2021
mill.creek-s4-c11-y21,11/8/2021,12/31/2021
mill.creek-s4-c11-y22,1/1/2022,3/13/2022
mill.creek-s5-c3-y21,9/28/2021,12/31/2021
mill.creek-s5-c3-y22,1/1/2022,4/16/2022
percy.warner-s10-c39-y22,9/1/2022,9/24/2022
percy.warner-s6-c37-y22,8/31/2022,9/24/2022
percy.warner-s7-c40-y22,8/31/2022,9/24/2022
percy.warner-s8-c45-y22,9/1/2022,9/24/2022
percy.warner-s9-c46-y22,8/31/2022,9/24/2022
shelby.bottoms-s1-c34-y22,9/8/2022,11/6/2022
shelby.bottoms-s2-c4-y22,9/9/2022,11/6/2022
shelby.bottoms-s3-c5-y22,9/8/2022,11/5/2022
shelby.bottoms-s4-c11-y22,9/17/2022,11/6/2022
percy.warner-c11-y19,9/21/2019,12/28/2019
percy.warner-c11-y20,1/6/2020,3/7/2020
percy.warner-c12-y19,9/24/2019,12/31/2019
percy.warner-c12-y20,1/1/2020,3/9/2020
percy.warner-c13-y19,9/21/2019,12/13/2019
percy.warner-c13-y20,1/1/2020,12/31/2020
percy.warner-c1-y19,9/21/2019,12/30/2019
percy.warner-c1-y20,1/3/2020,3/9/2020
percy.warner-c3-y19,9/21/2019,12/31/2019
percy.warner-c3-y20,1/1/2020,3/8/2020
percy.warner-c4-y19,9/21/2019,12/27/2019
percy.warner-c4-y20,1/2/2020,3/8/2020
percy.warner-c6-y19,9/21/2019,12/29/2019
percy.warner-c6-y20,1/19/2020,3/4/2020
percy.warner-c7-y19,9/22/2019,12/30/2019
percy.warner-c7-y20,1/1/2020,3/9/2020
percy.warner-c9-y19,9/21/2019,12/31/2019
percy.warner-c9-y20,1/1/2020,3/9/2020
