"Species","CountAdjusted","ParkName"
"White-tailed Deer",104,"Alvin G. Beaman Park"
"Eastern Gray Squirrel",59.75,"Alvin G. Beaman Park"
"Virginia Opossum",23.75,"Alvin G. Beaman Park"
"Northern Raccoon",45,"Alvin G. Beaman Park"
"Eastern Chipmunk",3.16666666666667,"Alvin G. Beaman Park"
"Coyote",9.91666666666667,"Alvin G. Beaman Park"
"Bobcat",2.08333333333333,"Alvin G. Beaman Park"
"Woodchuck",0,"Alvin G. Beaman Park"
"Nine-banded Armadillo",3,"Alvin G. Beaman Park"
"Eastern Cottontail",2.75,"Alvin G. Beaman Park"
"Red Fox",2.08333333333333,"Alvin G. Beaman Park"
"North American River Otter",2,"Alvin G. Beaman Park"
"Striped Skunk",0.5,"Alvin G. Beaman Park"
"Weasel Family",5.91666666666667,"Alvin G. Beaman Park"
"Nine-banded Armadillo",81.0666666666667,"Bells Bend Park"
"White-tailed Deer",370.3,"Bells Bend Park"
"Eastern Chipmunk",1.7,"Bells Bend Park"
"Virginia Opossum",30.1666666666667,"Bells Bend Park"
"Northern Raccoon",61.65,"Bells Bend Park"
"Bobcat",33.85,"Bells Bend Park"
"Coyote",22.0333333333333,"Bells Bend Park"
"Eastern Cottontail",26.0166666666667,"Bells Bend Park"
"Eastern Gray Squirrel",51.85,"Bells Bend Park"
"Weasel Family",0.333333333333333,"Bells Bend Park"
"American Beaver",1,"Bells Bend Park"
"North American River Otter",0,"Bells Bend Park"
"Northern Raccoon",119.083333333333,"Mill Creek Park"
"Eastern Gray Squirrel",506.833333333333,"Mill Creek Park"
"Eastern Chipmunk",4.16666666666667,"Mill Creek Park"
"White-tailed Deer",48.9166666666667,"Mill Creek Park"
"Coyote",10.0833333333333,"Mill Creek Park"
"Virginia Opossum",17.75,"Mill Creek Park"
"Muskrat",3.5,"Mill Creek Park"
"Red Fox",1.33333333333333,"Mill Creek Park"
"North American River Otter",0.5,"Mill Creek Park"
"American Beaver",0.333333333333333,"Mill Creek Park"
"Eastern Cottontail",1,"Mill Creek Park"
